t_s,phase,gap_mm,ref_mm,pwm
10.166,post,27.3,30.2,93
10.186,post,28.7,30.2,138
10.206,post,27.4,30.2,94
10.227,post,29.9,30.2,168
10.247,post,27.2,30.2,85
10.268,post,30.3,30.2,180
10.288,post,26.5,30.2,62
10.309,post,27.8,30.2,111
10.329,post,27.1,30.2,94
10.350,post,28.3,30.2,131
10.371,post,28.2,30.2,122
10.391,post,29.3,30.2,144
10.412,post,28.2,30.2,115
10.432,post,28.4,30.2,103
10.452,post,27.5,30.2,100
10.473,post,28.1,30.2,113
10.493,post,27.5,30.2,102
10.514,post,28.7,30.2,134
10.534,post,27.5,30.2,100
10.555,post,29.6,30.2,155
10.575,post,27.3,30.2,91
10.596,post,29.1,30.2,136
10.616,post,27.3,30.2,95
10.637,post,27.4,30.2,95
10.657,post,27.2,30.2,99
10.678,post,28.6,30.2,130
10.698,post,27.9,30.2,113
10.719,post,29.0,30.2,136
10.739,post,28.0,30.2,111
10.760,post,28.7,30.2,123
10.780,post,27.9,30.2,110
10.801,post,27.8,30.2,100
10.821,post,27.8,30.2,111
10.841,post,27.7,30.2,98
10.862,post,28.6,30.2,137
10.882,post,27.7,30.2,86
10.903,post,28.4,30.2,131
10.923,post,27.0,30.2,75
10.944,post,29.0,30.2,151
10.964,post,26.9,30.2,78
10.985,post,28.7,30.2,139
11.005,post,26.8,30.2,70
11.026,post,29.9,30.2,175
11.046,post,26.6,30.2,66
11.067,post,29.1,30.2,150
11.087,post,26.8,30.2,76
11.108,post,28.4,30.2,125
11.129,post,26.9,30.2,84
11.149,post,28.6,30.2,142
11.169,post,27.0,30.2,85
11.190,post,29.9,30.2,174
11.210,post,26.8,30.2,71
11.231,post,30.6,30.2,196
11.251,post,26.4,30.2,58
11.272,post,28.6,30.2,139
11.292,post,26.7,30.2,81
11.313,post,28.4,30.2,137
11.333,post,28.0,30.2,119
11.354,post,28.2,30.2,111
11.374,post,28.2,30.2,119
11.394,post,30.7,30.2,170
11.415,post,26.6,30.2,68
11.436,post,26.8,30.2,84
11.456,post,27.3,30.2,106
11.476,post,27.9,30.2,119
11.497,post,28.4,30.2,131
11.518,post,28.7,30.2,127
11.538,post,29.4,30.2,155
11.559,post,27.7,30.2,77
11.579,post,29.1,30.2,148
11.600,post,27.2,30.2,78
11.621,post,28.4,30.2,129
11.641,post,27.8,30.2,110
11.661,post,28.5,30.2,127
11.682,post,27.7,30.2,105
11.702,post,28.9,30.2,140
11.722,post,27.9,30.2,109
11.743,post,30.0,30.2,157
11.764,post,26.6,30.2,68
11.784,post,27.5,30.2,103
11.805,post,26.5,30.2,82
11.825,post,27.1,30.2,100
11.845,post,27.9,30.2,123
11.866,post,28.1,30.2,118
11.887,post,31.2,30.2,207
11.907,post,26.4,30.2,33
11.927,post,28.4,30.2,125
11.948,post,26.7,30.2,81
11.969,post,27.5,30.2,110
11.989,post,27.7,30.2,113
12.010,post,28.5,30.2,137
12.030,post,28.5,30.2,127
12.050,post,28.8,30.2,121
12.070,post,29.1,30.2,147
12.091,post,28.0,30.2,73
12.111,post,26.7,30.2,76
12.132,post,26.1,30.2,70
12.153,post,26.4,30.2,87
12.173,post,27.3,30.2,111
12.193,post,28.4,30.2,139
12.215,post,28.6,30.2,131
12.235,post,32.9,30.2,242
12.255,post,26.8,30.2,58
12.275,post,31.9,30.2,212
12.296,post,26.1,30.2,47
12.317,post,26.7,30.2,83
12.337,post,26.2,30.2,78
12.358,post,27.1,30.2,109
12.378,post,29.2,30.2,155
12.399,post,27.3,30.2,90
12.420,post,32.6,30.2,243
12.439,post,26.4,30.2,52
12.460,post,27.7,30.2,103
12.480,post,26.8,30.2,90
12.501,post,28.3,30.2,131
12.521,post,27.8,30.2,111
12.542,post,31.5,30.2,217
12.562,post,26.9,30.2,53
12.583,post,33.1,30.2,255
12.604,post,26.2,30.2,41
12.624,post,27.7,30.2,109
12.645,post,26.5,30.2,81
12.665,post,27.1,30.2,103
12.686,post,27.2,30.2,102
12.706,post,28.8,30.2,143
12.726,post,27.4,30.2,97
12.747,post,29.0,30.2,140
12.767,post,27.3,30.2,91
12.788,post,29.2,30.2,143
12.808,post,27.8,30.2,110
12.829,post,30.4,30.2,157
12.849,post,26.4,30.2,64
12.870,post,26.9,30.2,91
12.890,post,27.1,30.2,101
12.911,post,27.9,30.2,119
12.931,post,28.5,30.2,132
12.952,post,30.1,30.2,157
12.972,post,28.1,30.2,114
12.992,post,29.0,30.2,105
13.014,post,26.4,30.2,64
13.034,post,26.3,30.2,75
13.054,post,26.1,30.2,80
13.074,post,26.6,30.2,94
13.094,post,27.7,30.2,122
13.115,post,28.5,30.2,137
13.135,post,30.4,30.2,174
13.156,post,27.4,30.2,75
13.176,post,32.9,30.2,233
13.197,post,26.5,30.2,50
13.217,post,29.7,30.2,155
13.238,post,26.3,30.2,63
13.258,post,27.1,30.2,98
13.279,post,27.2,30.2,103
13.299,post,27.7,30.2,111
13.320,post,28.4,30.2,133
13.341,post,27.5,30.2,91
13.361,post,28.7,30.2,140
13.382,post,27.1,30.2,78
13.402,post,29.9,30.2,174
13.423,post,26.6,30.2,57
13.443,post,28.7,30.2,138
13.463,post,26.8,30.2,81
13.484,post,29.4,30.2,154
13.504,post,27.3,30.2,94
13.525,post,29.6,30.2,139
13.545,post,26.8,30.2,78
13.566,post,27.5,30.2,101
13.587,post,27.2,30.2,100
13.607,post,27.5,30.2,104
13.627,post,27.8,30.2,114
13.648,post,27.4,30.2,102
13.668,post,28.0,30.2,119
13.689,post,27.8,30.2,109
13.710,post,29.1,30.2,147
13.730,post,27.8,30.2,99
13.750,post,29.6,30.2,157
13.771,post,27.2,30.2,78
13.791,post,32.4,30.2,227
13.812,post,26.1,30.2,45
13.832,post,26.7,30.2,87
13.852,post,26.7,30.2,90
13.873,post,27.1,30.2,106
13.893,post,27.3,30.2,107
13.915,post,27.7,30.2,115
13.934,post,28.4,30.2,129
13.955,post,28.1,30.2,117
13.976,post,27.6,30.2,90
13.996,post,30.1,30.2,181
14.017,post,26.7,30.2,52
14.037,post,28.6,30.2,136
14.057,post,27.3,30.2,91
14.078,post,30.3,30.2,184
14.098,post,26.6,30.2,60
14.119,post,31.0,30.2,201
14.139,post,26.3,30.2,53
14.160,post,28.2,30.2,120
14.180,post,26.6,30.2,80
14.201,post,28.1,30.2,127
14.221,post,27.5,30.2,108
14.242,post,28.5,30.2,126
14.262,post,28.1,30.2,119
14.283,post,29.4,30.2,136
14.303,post,27.3,30.2,92
14.324,post,27.7,30.2,97
14.344,post,27.2,30.2,97
14.365,post,27.7,30.2,110
14.386,post,28.0,30.2,121
14.406,post,28.4,30.2,126
14.429,post,28.7,30.2,134
14.450,post,28.1,30.2,109
14.470,post,29.0,30.2,141
14.491,post,27.9,30.2,106
14.511,post,29.6,30.2,161
14.532,post,27.1,30.2,73
14.552,post,29.7,30.2,169
14.573,post,26.8,30.2,69
14.593,post,28.9,30.2,142
14.614,post,27.0,30.2,87
14.634,post,28.2,30.2,124
14.654,post,27.4,30.2,102
14.675,post,28.3,30.2,119
14.696,post,28.1,30.2,118
14.716,post,27.9,30.2,107
14.737,post,28.0,30.2,106
14.757,post,28.3,30.2,124
14.777,post,27.8,30.2,101
14.798,post,29.1,30.2,153
14.819,post,27.5,30.2,88
14.839,post,29.7,30.2,166
14.860,post,26.7,30.2,67
14.880,post,29.5,30.2,162
14.900,post,26.7,30.2,67
14.921,post,28.5,30.2,130
14.941,post,27.3,30.2,96
14.962,post,29.4,30.2,158
14.982,post,27.1,30.2,82
15.003,post,30.0,30.2,167
15.023,post,26.8,30.2,76
15.044,post,28.0,30.2,118
15.064,post,27.2,30.2,95
15.085,post,27.7,30.2,109
15.105,post,28.0,30.2,121
15.126,post,27.8,30.2,107
15.146,post,28.6,30.2,135
15.167,post,28.3,30.2,113
15.187,post,29.0,30.2,136
15.208,post,27.6,30.2,98
15.228,post,29.0,30.2,141
15.249,post,27.1,30.2,82
15.269,post,30.2,30.2,182
15.290,post,26.6,30.2,66
15.310,post,29.4,30.2,158
15.330,post,26.7,30.2,78
15.351,post,28.2,30.2,121
15.371,post,27.2,30.2,95
15.392,post,28.2,30.2,122
15.412,post,28.3,30.2,126
15.433,post,28.6,30.2,109
15.453,post,27.6,30.2,103
15.474,post,27.0,30.2,82
15.494,post,28.0,30.2,125
15.515,post,27.6,30.2,105
15.535,post,28.9,30.2,145
15.556,post,27.7,30.2,100
15.576,post,30.4,30.2,184
15.597,post,27.0,30.2,76
15.617,post,29.4,30.2,154
15.638,post,26.8,30.2,79
15.658,post,27.9,30.2,116
15.679,post,27.7,30.2,110
15.699,post,28.8,30.2,137
15.720,post,27.8,30.2,105
15.741,post,31.4,30.2,217
15.761,post,26.4,30.2,48
15.781,post,28.2,30.2,121
15.801,post,26.7,30.2,81
15.822,post,27.5,30.2,109
15.843,post,27.6,30.2,109
15.863,post,28.0,30.2,120
15.884,post,28.8,30.2,129
15.905,post,27.8,30.2,109
15.925,post,29.2,30.2,146
15.945,post,27.2,30.2,90
15.966,post,30.3,30.2,173
15.986,post,26.5,30.2,68
16.007,post,27.5,30.2,103
16.027,post,27.4,30.2,108
16.047,post,27.8,30.2,115
16.068,post,28.9,30.2,144
16.088,post,28.0,30.2,107
16.109,post,31.3,30.2,201
16.130,post,26.6,30.2,61
16.150,post,27.8,30.2,107
16.170,post,26.9,30.2,91
16.191,post,27.5,30.2,106
16.212,post,27.7,30.2,113
